check_name,description,failed_records,status,check_time
dwd_negative_aum,DWD层-检查AUM是否为负数,0,通过,2026-06-11 15:17:23
dwd_invalid_date,DWD层-检查日期是否合理,0,通过,2026-06-11 15:17:23
dwd_null_customer_id,DWD层-检查客户ID是否为空,0,通过,2026-06-11 15:17:23
dws_invalid_value_level,DWS层-检查客户价值等级是否合理,0,通过,2026-06-11 15:17:23
dws_aum_mismatch,DWS层-检查AUM计算是否正确,0,通过,2026-06-11 15:17:23
ads_ranking_gap,ADS层-检查排名是否连续,0,通过,2026-06-11 15:17:23
dwd_dws_aum_mismatch,跨层校验-DWD汇总与DWS对比,0,通过,2026-06-11 15:17:23
missing_customer_aum,完整性校验-检查是否有客户缺失AUM数据,365,失败,2026-06-11 15:17:23
dwd_negative_sales_amount,DWD层-检查产品销售金额是否为负数,0,通过,2026-06-11 15:17:23
dwd_null_product_id,DWD层-检查产品ID是否为空,0,通过,2026-06-11 15:17:23
dwd_net_purchase_mismatch,DWD层-检查净申购金额计算是否正确,0,通过,2026-06-11 15:17:23
dws_decreasing_total_sales,DWS层-检查累计销售额是否递减,0,通过,2026-06-11 15:17:23
ads_sales_share_sum_invalid,ADS层-检查销售占比总和是否接近1,0,通过,2026-06-11 15:17:23
ads_branch_ranking_gap,ADS层-检查排名是否连续,0,通过,2026-06-11 15:17:23
dwd_invalid_risk_match_flag,DWD层-检查风险匹配标志是否有效,0,通过,2026-06-11 15:17:23
dwd_negative_risk_gap,DWD层-检查风险差距是否非负,0,通过,2026-06-11 15:17:23
dwd_invalid_risk_level,DWD层-检查风险等级是否有效,0,通过,2026-06-11 15:17:23
dws_invalid_compliance_status,DWS层-检查合规状态是否有效,0,通过,2026-06-11 15:17:23
dws_mismatch_ratio_range,DWS层-检查错配比例是否在0-1之间,0,通过,2026-06-11 15:17:23
dws_holding_count_mismatch,DWS层-检查持仓数量一致性,0,通过,2026-06-11 15:17:23
ads_invalid_alert_level,ADS层-检查预警级别是否有效,0,通过,2026-06-11 15:17:23
ads_invalid_alert_type,ADS层-检查预警类型是否有效,0,通过,2026-06-11 15:17:23
dwd_dws_mismatch_count_mismatch,跨层校验-DWD汇总与DWS错配持仓数对比,0,通过,2026-06-11 15:17:23
missing_risk_match_data,完整性校验-检查是否有持仓客户缺失风险匹配数据,-1,错误,2026-06-11 15:17:23
