check_name,failed_records,status,check_time
dwd_negative_aum,0,PASS,2026-06-25 14:17:00
dwd_invalid_date,5077,FAIL,2026-06-25 14:17:00
dwd_null_customer_id,0,PASS,2026-06-25 14:17:00
dws_invalid_value_level,0,PASS,2026-06-25 14:17:00
dws_aum_mismatch,0,PASS,2026-06-25 14:17:00
ads_ranking_gap,0,PASS,2026-06-25 14:17:00
dwd_dws_aum_mismatch,0,PASS,2026-06-25 14:17:00
missing_customer_aum,375,FAIL,2026-06-25 14:17:00
dwd_negative_sales_amount,0,PASS,2026-06-25 14:17:00
dwd_null_product_id,0,PASS,2026-06-25 14:17:00
dwd_net_purchase_mismatch,0,PASS,2026-06-25 14:17:00
dws_decreasing_total_sales,0,PASS,2026-06-25 14:17:00
ads_sales_share_sum_invalid,0,PASS,2026-06-25 14:17:00
ads_branch_ranking_gap,0,PASS,2026-06-25 14:17:00
dws_total_aum_negative,0,PASS,2026-06-25 14:17:00
dws_customer_count_mismatch,0,PASS,2026-06-25 14:17:00
dws_coverage_rate_range,0,PASS,2026-06-25 14:17:00
ads_growth_rate_range,0,PASS,2026-06-25 14:17:00
ads_conversion_rate_range,0,PASS,2026-06-25 14:17:00
multi_aum_consistency,1,FAIL,2026-06-25 14:17:00
anomaly_level_valid,0,PASS,2026-06-25 14:17:00
anomaly_deviation_calc,0,PASS,2026-06-25 14:17:00
dws_ods_customer_mismatch,0,PASS,2026-06-25 14:17:00
dwd_invalid_risk_match_flag,0,PASS,2026-06-25 14:17:00
dwd_negative_risk_gap,0,PASS,2026-06-25 14:17:00
dwd_invalid_risk_level,0,PASS,2026-06-25 14:17:00
dws_invalid_compliance_status,0,PASS,2026-06-25 14:17:00
dws_mismatch_ratio_range,0,PASS,2026-06-25 14:17:00
dws_holding_count_mismatch,0,PASS,2026-06-25 14:17:00
ads_invalid_alert_level,0,PASS,2026-06-25 14:17:00
ads_invalid_alert_type,0,PASS,2026-06-25 14:17:00
dwd_dws_mismatch_count_mismatch,0,PASS,2026-06-25 14:17:00
missing_risk_match_data,-1,ERROR,2026-06-25 14:17:00
dwd_negative_amount,0,PASS,2026-06-25 14:17:00
dws_negative_frequency,0,PASS,2026-06-25 14:17:00
dws_invalid_churn_level,0,PASS,2026-06-25 14:17:00
dws_invalid_asset_trend,0,PASS,2026-06-25 14:17:00
ads_negative_risk_score,0,PASS,2026-06-25 14:17:00
ads_invalid_churn_level,0,PASS,2026-06-25 14:17:00
