check_name,failed_records,status,check_time
dwd_negative_aum,dwd_negative_aum,FAIL,2026-06-24 21:50:39
dwd_invalid_date,dwd_invalid_date,FAIL,2026-06-24 21:50:39
dwd_null_customer_id,dwd_null_customer_id,FAIL,2026-06-24 21:50:39
dws_invalid_value_level,dws_invalid_value_level,FAIL,2026-06-24 21:50:39
dws_aum_mismatch,dws_aum_mismatch,FAIL,2026-06-24 21:50:39
ads_ranking_gap,-1,ERROR,2026-06-24 21:50:39
dwd_dws_aum_mismatch,-1,ERROR,2026-06-24 21:50:39
missing_customer_aum,missing_customer_aum,FAIL,2026-06-24 21:50:39
dwd_negative_sales_amount,dwd_negative_sales_amount,FAIL,2026-06-24 21:50:39
dwd_null_product_id,dwd_null_product_id,FAIL,2026-06-24 21:50:39
dwd_net_purchase_mismatch,dwd_net_purchase_mismatch,FAIL,2026-06-24 21:50:39
dws_decreasing_total_sales,-1,ERROR,2026-06-24 21:50:39
ads_sales_share_sum_invalid,-1,ERROR,2026-06-24 21:50:39
ads_branch_ranking_gap,-1,ERROR,2026-06-24 21:50:39
dws_total_aum_negative,dws_total_aum_negative,FAIL,2026-06-24 21:50:39
dws_customer_count_mismatch,dws_customer_count_mismatch,FAIL,2026-06-24 21:50:39
dws_coverage_rate_range,dws_coverage_rate_range,FAIL,2026-06-24 21:50:39
ads_growth_rate_range,ads_growth_rate_range,FAIL,2026-06-24 21:50:39
ads_conversion_rate_range,ads_conversion_rate_range,FAIL,2026-06-24 21:50:39
multi_aum_consistency,-1,ERROR,2026-06-24 21:50:39
anomaly_level_valid,anomaly_level_valid,FAIL,2026-06-24 21:50:39
anomaly_deviation_calc,anomaly_deviation_calc,FAIL,2026-06-24 21:50:39
dws_ods_customer_mismatch,-1,ERROR,2026-06-24 21:50:39
dwd_invalid_risk_match_flag,dwd_invalid_risk_match_flag,FAIL,2026-06-24 21:50:39
dwd_negative_risk_gap,dwd_negative_risk_gap,FAIL,2026-06-24 21:50:39
dwd_invalid_risk_level,dwd_invalid_risk_level,FAIL,2026-06-24 21:50:39
dws_invalid_compliance_status,dws_invalid_compliance_status,FAIL,2026-06-24 21:50:39
dws_mismatch_ratio_range,dws_mismatch_ratio_range,FAIL,2026-06-24 21:50:39
dws_holding_count_mismatch,dws_holding_count_mismatch,FAIL,2026-06-24 21:50:39
ads_invalid_alert_level,ads_invalid_alert_level,FAIL,2026-06-24 21:50:39
ads_invalid_alert_type,ads_invalid_alert_type,FAIL,2026-06-24 21:50:39
dwd_dws_mismatch_count_mismatch,-1,ERROR,2026-06-24 21:50:39
missing_risk_match_data,-1,ERROR,2026-06-24 21:50:39
dwd_negative_amount,dwd_negative_amount,FAIL,2026-06-24 21:50:39
dwd_null_customer_id,dwd_null_customer_id,FAIL,2026-06-24 21:50:39
dwd_invalid_date,dwd_invalid_date,FAIL,2026-06-24 21:50:39
dws_negative_frequency,dws_negative_frequency,FAIL,2026-06-24 21:50:39
dws_invalid_churn_level,dws_invalid_churn_level,FAIL,2026-06-24 21:50:39
dws_invalid_asset_trend,dws_invalid_asset_trend,FAIL,2026-06-24 21:50:39
ads_negative_risk_score,ads_negative_risk_score,FAIL,2026-06-24 21:50:39
ads_invalid_churn_level,ads_invalid_churn_level,FAIL,2026-06-24 21:50:39
dwd_dws_transaction_mismatch,-1,ERROR,2026-06-24 21:50:39
missing_active_customer,-1,ERROR,2026-06-24 21:50:39
